6.49,TV,Original,G - All Ages,Comedy; Romance; School; Sci-Fi; Slice of Life,Studio Deen
7.99,TV,Manga,PG-13 - Teens 13 or older,Comedy; Drama; Romance; Shounen Ai,Studio Deen
7.63,TV,Visual novel,PG-13 - Teens 13 or older,Comedy; Drama; Harem; Magic; Music; Romance; School; Shoujo,Yumeta Company
7.92,TV,Manga,R - 17+ (violence & profanity),Action; Adventure; Super Power; Demons; Shounen,TMS Entertainment
6.2,TV,Unknown,PG-13 - Teens 13 or older,Action; Comedy; Drama; Historical; Romance; Samurai; Shoujo,Milky Cartoon; LMD
0,Movie,Manga,R - 17+ (violence & profanity),Action; Comedy; Historical; Samurai; Shounen,White Fox
5.79,Music,Original,G - All Ages,Kids; Music; Slice of Life,
7.03,OVA,Manga,Rx - Hentai,Hentai,
6.39,TV,Unknown,PG - Children,Adventure; Comedy; Fantasy; Kids; Magic,
6.29,OVA,Unknown,G - All Ages,Sci-Fi; Adventure; Space; Mecha,Sunrise
7.4,OVA,Original,R - 17+ (violence & profanity),Action; Mystery; Horror; Psychological,Lerche
6,OVA,Unknown,PG-13 - Teens 13 or older,Police; Comedy; Romance; Drama,
8.13,TV,Novel,PG-13 - Teens 13 or older,Action; Adventure; Fantasy; Magic; Supernatural,Studio Pierrot
6.04,OVA,Visual novel,PG-13 - Teens 13 or older,Harem; School; Vampire; Shoujo,Production I.G; Zexcs
5.34,OVA,Unknown,Rx - Hentai,Hentai,
5.87,ONA,Unknown,R - 17+ (violence & profanity),Comedy; Romance,Studio 4°C
6.87,Special,Unknown,PG-13 - Teens 13 or older,Adventure; Comedy; Seinen,
3.44,TV,Manga,None,Comedy,Kachidoki Studio
7.14,OVA,Manga,PG-13 - Teens 13 or older,Action; Adventure; Mecha; Military; Sci-Fi,Gonzo
6.15,Special,Light novel,PG-13 - Teens 13 or older,Comedy,David Production
6.17,TV,Unknown,PG-13 - Teens 13 or older,Space; Mecha; Military; Mystery; Sci-Fi,
7.35,Special,Light novel,PG-13 - Teens 13 or older,Action; Military; Romance; Sci-Fi; Space,Sunrise
7.42,Special,Original,PG-13 - Teens 13 or older,Comedy,Studio Pierrot
4.32,ONA,Original,G - All Ages,Comedy,DLE
5.91,TV,Manga,PG-13 - Teens 13 or older,Action; Samurai,Studio Pierrot
5.86,Special,Unknown,PG-13 - Teens 13 or older,Mecha; Military,Sunrise
0,TV,Manga,None,Adventure; Mystery; Shounen,Studio VOLN
4.86,Movie,Other,PG - Children,Drama; Historical,
8.01,Movie,Original,R - 17+ (violence & profanity),Game; Mystery; Psychological; Drama; Thriller,Madhouse
5.85,Music,Music,PG - Children,Music,
6.86,TV,Manga,PG - Children,Game; Fantasy,TMS Entertainment
6.17,Movie,Unknown,G - All Ages,Adventure; Comedy; Fantasy; Horror; Supernatural,Toei Animation
6.08,OVA,Visual novel,Rx - Hentai,Fantasy; Hentai,
6.41,TV,Manga,R+ - Mild Nudity,Action; Adventure; Ecchi; Shounen,Xebec
5.73,OVA,Manga,None,Action; Adventure; Military; Sci-Fi,J.C.Staff; Toei Animation
5.62,Music,Music,G - All Ages,Music,
5.86,Movie,Original,None,Action; Fantasy,
5.2,TV,Other,R+ - Mild Nudity,Ecchi; Fantasy,Bridge
6.26,Movie,Unknown,G - All Ages,,
6.65,Special,Light novel,PG-13 - Teens 13 or older,Comedy,A-1 Pictures
5.92,Special,Manga,G - All Ages,Comedy; Seinen,Fanworks
6.41,Special,Unknown,G - All Ages,Comedy; Romance; School; Shoujo; Slice of Life,Nippon Animation
5.96,Movie,Original,PG - Children,Adventure; Kids,
5.63,OVA,Original,R - 17+ (violence & profanity),Action; Sci-Fi; Space,Animate Film
6.73,Special,Unknown,PG-13 - Teens 13 or older,Music,
6.6,Special,Unknown,R - 17+ (violence & profanity),Action; Adventure; Fantasy; Magic; Shounen,Zexcs
6.54,OVA,Visual novel,Rx - Hentai,Hentai,G-Lam
6.95,TV,Original,PG-13 - Teens 13 or older,Adventure; Drama; Magic; Sci-Fi,Satelight
5.51,OVA,Original,G - All Ages,Comedy; Slice of Life,
8.14,TV,4-koma manga,PG-13 - Teens 13 or older,Comedy; Music; School; Slice of Life,Kyoto Animation
6.93,OVA,Manga,R+ - Mild Nudity,Drama; Romance; Yaoi,Trinet Entertainment
7.13,Movie,Game,PG - Children,Adventure; Comedy; Fantasy; Kids,OLM
7.47,TV,Manga,PG-13 - Teens 13 or older,Comedy; Slice of Life,Shaft
7.89,Movie,Unknown,G - All Ages,Drama; Historical,
6.24,Special,Original,PG-13 - Teens 13 or older,Action; School,
6.23,TV,Unknown,G - All Ages,Cars; Kids; Shounen; Space; Sports,SynergySP
6.14,Movie,Unknown,G - All Ages,Adventure; Kids,
5.36,OVA,Unknown,Rx - Hentai,Hentai,
7.57,Movie,Manga,G - All Ages,Fantasy; Magic,ufotable
0,Special,Manga,PG-13 - Teens 13 or older,Action; Adventure; Comedy; Demons; Supernatural; Martial Arts; Shounen,Studio Pierrot
6.03,TV,Manga,PG-13 - Teens 13 or older,Comedy; School,Creators in Pack
6,Movie,Unknown,G - All Ages,Magic; School; Shoujo,Toei Animation
5.56,Movie,Original,G - All Ages,Music; Kids,
5.81,OVA,Visual novel,PG - Children,Adventure; Mecha,ufotable
7.22,TV,Other,PG - Children,Adventure; Comedy; Historical,
7.88,TV,Original,PG-13 - Teens 13 or older,Sci-Fi; Space; Comedy,Bones
6.3,Movie,Unknown,G - All Ages,Action; Mecha; Super Power; Sci-Fi; Shounen,
4.2,Movie,Original,G - All Ages,Comedy,
7.77,OVA,Manga,PG-13 - Teens 13 or older,Action; Adventure; Supernatural; Magic; Fantasy; Shounen,A-1 Pictures
6.14,Movie,Unknown,G - All Ages,Adventure,
7.5,TV,Manga,PG-13 - Teens 13 or older,Action; Sci-Fi; Seinen,SANZIGEN
6.47,TV,Original,PG-13 - Teens 13 or older,Music; Comedy,Sunrise
6.49,OVA,Manga,Rx - Hentai,Hentai,Office Takeout
6.81,TV,Unknown,G - All Ages,Slice of Life; Comedy; School,
6.84,Special,Unknown,PG - Children,Sci-Fi; Adventure; Comedy; Kids; Shounen,
7.17,Movie,Picture book,PG-13 - Teens 13 or older,Adventure; Drama; Fantasy,Sanrio
5.13,OVA,Unknown,R+ - Mild Nudity,Mecha; Military; Sci-Fi,Zero-G Room
7.69,TV,Original,R - 17+ (violence & profanity),Action; Sci-Fi; Fantasy,TROYCA
6.12,Movie,Unknown,PG-13 - Teens 13 or older,Action; Adventure; Fantasy; Magic; Supernatural,Triangle Staff
4.7,Music,Music,G - All Ages,Music,
7.42,TV,Manga,PG-13 - Teens 13 or older,Action; Adventure; Martial Arts; Shounen; Super Power,Studio Pierrot
5.63,OVA,Game,PG-13 - Teens 13 or older,Action; Sci-Fi; Space; Comedy; Romance; Fantasy,
8.02,TV,Novel,PG-13 - Teens 13 or older,Music; School; Drama,Kyoto Animation
8.85,TV,Manga,PG-13 - Teens 13 or older,Action; Sci-Fi; Comedy; Historical; Parody; Samurai; Shounen,Bandai Namco Pictures
6.06,TV,Original,PG-13 - Teens 13 or older,Adventure; Samurai; Fantasy,ACC Production
4.03,ONA,Original,G - All Ages,,
6.49,TV,Unknown,PG-13 - Teens 13 or older,Action; Adventure; Sci-Fi,Madhouse
7.27,TV,Manga,PG-13 - Teens 13 or older,Comedy; Seinen; Slice of Life,Shin-Ei Animation
5,Special,Original,G - All Ages,Slice of Life,
6.66,TV,Other,G - All Ages,Comedy; Slice of Life,Toei Animation; Daewon Media
7.35,Special,Unknown,PG-13 - Teens 13 or older,Comedy; Sports; School; Shounen,Production I.G
7.5,Special,Original,G - All Ages,Slice of Life; School,
7.7,Special,Manga,PG-13 - Teens 13 or older,Drama; School,AIC Classic
0,OVA,Manga,PG-13 - Teens 13 or older,Drama; Romance; School,LIDENFILMS
6.16,Movie,Unknown,G - All Ages,Fantasy; Shounen,Shin-Ei Animation
0,TV,Original,None,Drama; Music; Romance,Bones
6.24,Special,Unknown,PG-13 - Teens 13 or older,Drama; Mecha; Military; Sci-Fi; Shounen; Space,Sunrise
6.5,TV,Unknown,G - All Ages,Comedy; School,Fanworks
7.17,Movie,Unknown,G - All Ages,Kids,
7.36,TV,Card game,R - 17+ (violence & profanity),Game; Psychological,J.C.Staff
5.68,Music,Music,G - All Ages,Music,
6.28,TV,Manga,R+ - Mild Nudity,Comedy; Ecchi; School; Seinen; Shoujo Ai,LMD
6.61,Special,Unknown,PG-13 - Teens 13 or older,Action; Adventure; Comedy; Mecha; Sci-Fi; Seinen,Production Reed
6.05,TV,Manga,G - All Ages,Comedy; Super Power,Shin-Ei Animation
7.94,Movie,Manga,PG-13 - Teens 13 or older,Comedy; Seinen; Slice of Life,A-1 Pictures
6.58,OVA,Visual novel,Rx - Hentai,Hentai,
7.12,OVA,Other,R - 17+ (violence & profanity),Action; Demons; Horror; Supernatural,Madhouse
6.81,OVA,Visual novel,Rx - Hentai,Hentai,
5.97,Special,Manga,PG-13 - Teens 13 or older,Action; Drama; Fantasy; Sci-Fi; Space,Toei Animation
6.34,OVA,Manga,Rx - Hentai,Hentai,
7.73,TV,Manga,R - 17+ (violence & profanity),Mystery; Police; Drama; Fantasy; Seinen,Madhouse
6.48,OVA,Unknown,PG-13 - Teens 13 or older,Drama; Sci-Fi; Shounen; Sports,Sunrise
5.13,OVA,Unknown,PG-13 - Teens 13 or older,Action; Comedy; Mecha; Parody; Sci-Fi,J.C.Staff
6.49,TV,Unknown,G - All Ages,Comedy; Fantasy,Mushi Production
5.91,OVA,Unknown,G - All Ages,Kids,
7.2,TV,Manga,PG-13 - Teens 13 or older,Adventure; Mystery; Seinen,J.C.Staff
6.84,TV,Web manga,G - All Ages,Comedy; Kids,helo.inc
7.85,TV,Light novel,PG-13 - Teens 13 or older,Adventure; Comedy; Demons; Magic; Fantasy,E&amp;G Films
7.01,TV,Original,PG-13 - Teens 13 or older,Sci-Fi,Toei Animation
7.78,TV,Manga,PG-13 - Teens 13 or older,Action; Adventure; Comedy; Fantasy; Martial Arts; Shounen; Super Power,Toei Animation
6.92,Special,Unknown,R - 17+ (violence & profanity),Comedy; Parody; Slice of Life,Production I.G
6.28,TV,Unknown,PG-13 - Teens 13 or older,Action; Comedy; Historical; Military; Samurai,Group TAC; G&amp;G Entertainment
6,TV,Unknown,G - All Ages,Adventure; Kids,
6.82,TV,Manga,G - All Ages,Adventure; Slice of Life; Comedy,8bit
7.56,OVA,Visual novel,Rx - Hentai,Action; Fantasy; Hentai,Majin
7.71,TV,Original,R - 17+ (violence & profanity),Action; Mystery; Historical,Actas; Studio 3Hz
6.78,TV,Manga,G - All Ages,Comedy; Supernatural; Vampire,Gonzo
6.57,OVA,Visual novel,G - All Ages,Music,Silver Link.
